收寄城市,寄达城市,集包件运量
石家庄,重庆,425.0
石家庄,成都,345.0
石家庄,南充,0.0
石家庄,内江,0.0
石家庄,贵阳,216.0
石家庄,昆明,0.0
石家庄,大理州,0.0
石家庄,拉萨,0.0
石家庄,西安,533.0
石家庄,宝鸡,0.0
石家庄,兰州,364.0
石家庄,西宁,0.0
石家庄,银川,0.0
石家庄,乌鲁木齐,0.0
石家庄,阿克苏,0.0
石家庄,喀什,0.0
唐山,北京,117.0
唐山,天津,293.0
唐山,石家庄,65.0
唐山,唐山,0.0
唐山,廊坊,13.0
唐山,保定,100.0
唐山,太原,0.0
唐山,侯马,0.0
唐山,呼和浩特,0.0
唐山,包头,0.0
唐山,沈阳,0.0
唐山,大连,0.0
唐山,锦州,0.0
唐山,长春,0.0
唐山,哈尔滨,0.0
唐山,上海,0.0
唐山,南京,0.0
唐山,常州,0.0
唐山,无锡,0.0
唐山,苏州,0.0
唐山,徐州,0.0
唐山,连云港,0.0
唐山,淮安,0.0
唐山,盐城,0.0
唐山,扬州,0.0
唐山,南通,0.0
唐山,杭州,0.0
唐山,湖州,0.0
唐山,嘉兴,0.0
唐山,宁波,0.0
唐山,台州,0.0
唐山,金华,0.0
唐山,义乌,0.0
唐山,温州,0.0
唐山,合肥,0.0
唐山,蚌埠,0.0
唐山,芜湖,0.0
唐山,安庆,0.0
唐山,福州,0.0
唐山,厦门,0.0
唐山,泉州,0.0
唐山,南昌,0.0
唐山,鹰潭,0.0
唐山,赣州,0.0
唐山,济南,0.0
唐山,潍坊,0.0
唐山,烟台,0.0
唐山,青岛,0.0
唐山,济宁,0.0
唐山,临沂,0.0
唐山,郑州,0.0
唐山,漯河,0.0
唐山,信阳,0.0
唐山,洛阳,0.0
唐山,武汉,0.0
唐山,荆州,0.0
唐山,襄阳,0.0
唐山,长沙,0.0
唐山,常德,0.0
唐山,衡阳,0.0
唐山,广州,0.0
唐山,汕头,0.0
唐山,深圳,0.0
唐山,东莞,0.0
唐山,湛江,0.0
唐山,中山,0.0
唐山,南宁,0.0
唐山,柳州,0.0
唐山,海口,0.0
唐山,重庆,0.0
唐山,成都,0.0
唐山,南充,0.0
唐山,内江,0.0
唐山,贵阳,0.0
唐山,昆明,0.0
唐山,大理州,0.0
唐山,拉萨,0.0
唐山,西安,0.0
唐山,宝鸡,0.0
唐山,兰州,0.0
唐山,西宁,0.0
唐山,银川,0.0
唐山,乌鲁木齐,0.0
唐山,阿克苏,0.0
唐山,喀什,0.0
廊坊,北京,304.0
廊坊,天津,237.0
廊坊,石家庄,95.0
廊坊,唐山,16.0
廊坊,廊坊,0.0
廊坊,保定,118.0
廊坊,太原,94.0
廊坊,侯马,0.0
廊坊,呼和浩特,0.0
廊坊,包头,0.0
廊坊,沈阳,68.0
廊坊,大连,0.0
廊坊,锦州,0.0
廊坊,长春,0.0
廊坊,哈尔滨,65.0
廊坊,上海,0.0
廊坊,南京,0.0
廊坊,常州,0.0
廊坊,无锡,156.0
廊坊,苏州,0.0
廊坊,徐州,0.0
廊坊,连云港,0.0
廊坊,淮安,0.0
廊坊,盐城,0.0
廊坊,扬州,0.0
廊坊,南通,0.0
廊坊,杭州,63.0
廊坊,湖州,0.0
廊坊,嘉兴,0.0
廊坊,宁波,0.0
廊坊,台州,0.0
廊坊,金华,0.0
廊坊,义乌,0.0
廊坊,温州,0.0
廊坊,合肥,0.0
廊坊,蚌埠,0.0
廊坊,芜湖,0.0
廊坊,安庆,0.0
廊坊,福州,0.0
廊坊,厦门,0.0
廊坊,泉州,0.0
廊坊,南昌,56.0
廊坊,鹰潭,0.0
廊坊,赣州,0.0
廊坊,济南,207.0
廊坊,潍坊,0.0
廊坊,烟台,0.0
廊坊,青岛,0.0
廊坊,济宁,0.0
廊坊,临沂,0.0
廊坊,郑州,158.0
廊坊,漯河,0.0
廊坊,信阳,0.0
廊坊,洛阳,0.0
廊坊,武汉,104.0
廊坊,荆州,0.0
廊坊,襄阳,0.0
廊坊,长沙,87.0
廊坊,常德,0.0
廊坊,衡阳,0.0
廊坊,广州,131.0
廊坊,汕头,0.0
廊坊,深圳,0.0
廊坊,东莞,0.0
廊坊,湛江,0.0
廊坊,中山,0.0
廊坊,南宁,0.0
廊坊,柳州,0.0
廊坊,海口,0.0
廊坊,重庆,0.0
廊坊,成都,0.0
廊坊,南充,0.0
廊坊,内江,0.0
廊坊,贵阳,0.0
廊坊,昆明,0.0
廊坊,大理州,0.0
廊坊,拉萨,0.0
廊坊,西安,232.0
廊坊,宝鸡,0.0
廊坊,兰州,0.0
廊坊,西宁,0.0
廊坊,银川,0.0
廊坊,乌鲁木齐,0.0
廊坊,阿克苏,0.0
廊坊,喀什,0.0
保定,北京,606.0
保定,天津,0.0
保定,石家庄,438.0
保定,唐山,56.0
保定,廊坊,188.0
保定,保定,0.0
保定,太原,137.0
保定,侯马,0.0
保定,呼和浩特,0.0
保定,包头,0.0
保定,沈阳,0.0
保定,大连,0.0
保定,锦州,0.0
保定,长春,0.0
保定,哈尔滨,0.0
保定,上海,113.0
保定,南京,404.0
保定,常州,0.0
保定,无锡,0.0
保定,苏州,0.0
保定,徐州,0.0
保定,连云港,0.0
保定,淮安,0.0
保定,盐城,0.0
保定,扬州,0.0
保定,南通,0.0
保定,杭州,0.0
保定,湖州,0.0
保定,嘉兴,0.0
保定,宁波,0.0
保定,台州,0.0
保定,金华,0.0
保定,义乌,0.0
保定,温州,0.0
保定,合肥,0.0
保定,蚌埠,0.0
保定,芜湖,0.0
保定,安庆,0.0
保定,福州,0.0
保定,厦门,0.0
保定,泉州,0.0
保定,南昌,0.0
保定,鹰潭,0.0
保定,赣州,0.0
保定,济南,564.0
保定,潍坊,0.0
保定,烟台,0.0
保定,青岛,0.0
保定,济宁,0.0
保定,临沂,0.0
保定,郑州,900.0
保定,漯河,0.0
保定,信阳,0.0
保定,洛阳,0.0
保定,武汉,0.0
保定,荆州,0.0
保定,襄阳,0.0
保定,长沙,0.0
保定,常德,0.0
保定,衡阳,0.0
保定,广州,0.0
保定,汕头,0.0
保定,深圳,0.0
保定,东莞,0.0
保定,湛江,0.0
保定,中山,92.0
保定,南宁,0.0
保定,柳州,0.0
保定,海口,0.0
保定,重庆,0.0
保定,成都,191.0
保定,南充,0.0
保定,内江,0.0
保定,贵阳,0.0
保定,昆明,0.0
保定,大理州,0.0
保定,拉萨,0.0
保定,西安,475.0
保定,宝鸡,0.0
保定,兰州,0.0
保定,西宁,0.0
保定,银川,0.0
保定,乌鲁木齐,0.0
保定,阿克苏,0.0
保定,喀什,0.0
太原,北京,62.0
太原,天津,56.0
太原,石家庄,35.0
太原,唐山,0.0
太原,廊坊,0.0
太原,保定,0.0
太原,太原,0.0
太原,侯马,244.0
太原,呼和浩特,424.0
太原,包头,0.0
太原,沈阳,17.0
太原,大连,0.0
太原,锦州,0.0
太原,长春,0.0
太原,哈尔滨,0.0
太原,上海,12.0
太原,南京,36.0
太原,常州,0.0
太原,无锡,0.0
太原,苏州,0.0
太原,徐州,0.0
太原,连云港,0.0
太原,淮安,0.0
太原,盐城,0.0
太原,扬州,0.0
太原,南通,0.0
太原,杭州,8.0
太原,湖州,0.0
太原,嘉兴,0.0
太原,宁波,0.0
太原,台州,0.0
太原,金华,0.0
太原,义乌,0.0
太原,温州,0.0
太原,合肥,21.0
太原,蚌埠,0.0
太原,芜湖,0.0
太原,安庆,0.0
太原,福州,0.0
太原,厦门,0.0
太原,泉州,0.0
太原,南昌,19.0
太原,鹰潭,0.0
太原,赣州,0.0
太原,济南,55.0
太原,潍坊,0.0
太原,烟台,0.0
太原,青岛,0.0
太原,济宁,0.0
太原,临沂,0.0
太原,郑州,64.0
太原,漯河,0.0
太原,信阳,0.0
太原,洛阳,0.0
太原,武汉,40.0
太原,荆州,0.0
太原,襄阳,0.0
太原,长沙,35.0
太原,常德,0.0
太原,衡阳,0.0
太原,广州,55.0
太原,汕头,0.0
太原,深圳,0.0
太原,东莞,0.0
太原,湛江,0.0
太原,中山,0.0
太原,南宁,0.0
太原,柳州,0.0
太原,海口,0.0
太原,重庆,17.0
太原,成都,11.0
太原,南充,0.0
太原,内江,0.0
太原,贵阳,0.0
太原,昆明,0.0
太原,大理州,0.0
太原,拉萨,0.0
太原,西安,55.0
太原,宝鸡,0.0
太原,兰州,0.0
太原,西宁,0.0
太原,银川,0.0
太原,乌鲁木齐,0.0
太原,阿克苏,0.0
太原,喀什,0.0
侯马,北京,0.0
侯马,天津,0.0
侯马,石家庄,0.0
侯马,唐山,0.0
侯马,廊坊,0.0
侯马,保定,0.0
侯马,太原,32.0
侯马,侯马,0.0
侯马,呼和浩特,0.0
侯马,包头,0.0
侯马,沈阳,0.0
侯马,大连,0.0
侯马,锦州,0.0
侯马,长春,0.0
侯马,哈尔滨,0.0
侯马,上海,0.0
侯马,南京,0.0
侯马,常州,0.0
侯马,无锡,0.0
侯马,苏州,0.0
侯马,徐州,0.0
侯马,连云港,0.0
侯马,淮安,0.0
侯马,盐城,0.0
侯马,扬州,0.0
侯马,南通,0.0
侯马,杭州,0.0
侯马,湖州,0.0
侯马,嘉兴,0.0
侯马,宁波,0.0
侯马,台州,0.0
侯马,金华,0.0
侯马,义乌,0.0
侯马,温州,0.0
侯马,合肥,0.0
侯马,蚌埠,0.0
侯马,芜湖,0.0
侯马,安庆,0.0
侯马,福州,0.0
侯马,厦门,0.0
侯马,泉州,0.0
侯马,南昌,0.0
侯马,鹰潭,0.0
侯马,赣州,0.0
侯马,济南,0.0
侯马,潍坊,0.0
侯马,烟台,0.0
侯马,青岛,0.0
侯马,济宁,0.0
侯马,临沂,0.0
侯马,郑州,103.0
侯马,漯河,0.0
侯马,信阳,0.0
侯马,洛阳,0.0
侯马,武汉,0.0
侯马,荆州,0.0
侯马,襄阳,0.0
侯马,长沙,0.0
侯马,常德,0.0
侯马,衡阳,0.0
侯马,广州,0.0
侯马,汕头,0.0
侯马,深圳,0.0
侯马,东莞,0.0
侯马,湛江,0.0
侯马,中山,0.0
侯马,南宁,0.0
侯马,柳州,0.0
侯马,海口,0.0
侯马,重庆,0.0
侯马,成都,0.0
侯马,南充,0.0
侯马,内江,0.0
侯马,贵阳,0.0
侯马,昆明,0.0
侯马,大理州,0.0
侯马,拉萨,0.0
侯马,西安,26.0
侯马,宝鸡,0.0
侯马,兰州,0.0
侯马,西宁,0.0
侯马,银川,0.0
侯马,乌鲁木齐,0.0
侯马,阿克苏,0.0
侯马,喀什,0.0
呼和浩特,北京,160.0
呼和浩特,天津,0.0
呼和浩特,石家庄,28.0
呼和浩特,唐山,0.0
呼和浩特,廊坊,0.0
呼和浩特,保定,0.0
呼和浩特,太原,99.0
呼和浩特,侯马,0.0
呼和浩特,呼和浩特,0.0
呼和浩特,包头,1141.0
呼和浩特,沈阳,29.0
呼和浩特,大连,0.0
呼和浩特,锦州,0.0
呼和浩特,长春,0.0
呼和浩特,哈尔滨,0.0
呼和浩特,上海,0.0
呼和浩特,南京,69.0
呼和浩特,常州,0.0
呼和浩特,无锡,0.0
呼和浩特,苏州,0.0
呼和浩特,徐州,0.0
呼和浩特,连云港,0.0
呼和浩特,淮安,0.0
呼和浩特,盐城,0.0
呼和浩特,扬州,0.0
呼和浩特,南通,0.0
呼和浩特,杭州,0.0
呼和浩特,湖州,0.0
呼和浩特,嘉兴,0.0
呼和浩特,宁波,0.0
呼和浩特,台州,0.0
