收寄城市,寄达城市,大件运量
廊坊,郑州,1336.0
廊坊,漯河,0.0
廊坊,信阳,0.0
廊坊,洛阳,0.0
廊坊,武汉,963.0
廊坊,荆州,0.0
廊坊,襄阳,0.0
廊坊,长沙,806.0
廊坊,常德,0.0
廊坊,衡阳,0.0
廊坊,广州,1127.0
廊坊,汕头,0.0
廊坊,深圳,0.0
廊坊,东莞,0.0
廊坊,湛江,0.0
廊坊,中山,0.0
廊坊,南宁,0.0
廊坊,柳州,0.0
廊坊,海口,0.0
廊坊,重庆,0.0
廊坊,成都,0.0
廊坊,南充,0.0
廊坊,内江,0.0
廊坊,贵阳,0.0
廊坊,昆明,0.0
廊坊,大理州,0.0
廊坊,拉萨,0.0
廊坊,西安,2860.0
廊坊,宝鸡,0.0
廊坊,兰州,0.0
廊坊,西宁,0.0
廊坊,银川,0.0
廊坊,乌鲁木齐,0.0
廊坊,阿克苏,0.0
廊坊,喀什,0.0
保定,北京,5082.0
保定,天津,0.0
保定,石家庄,3622.0
保定,唐山,424.0
保定,廊坊,1528.0
保定,保定,0.0
保定,太原,1108.0
保定,侯马,0.0
保定,呼和浩特,0.0
保定,包头,0.0
保定,沈阳,0.0
保定,大连,0.0
保定,锦州,0.0
保定,长春,0.0
保定,哈尔滨,0.0
保定,上海,959.0
保定,南京,3107.0
保定,常州,0.0
保定,无锡,0.0
保定,苏州,0.0
保定,徐州,0.0
保定,连云港,0.0
保定,淮安,0.0
保定,盐城,0.0
保定,扬州,0.0
保定,南通,0.0
保定,杭州,0.0
保定,湖州,0.0
保定,嘉兴,0.0
保定,宁波,0.0
保定,台州,0.0
保定,金华,0.0
保定,义乌,0.0
保定,温州,0.0
保定,合肥,0.0
保定,蚌埠,0.0
保定,芜湖,0.0
保定,安庆,0.0
保定,福州,0.0
保定,厦门,0.0
保定,泉州,0.0
保定,南昌,0.0
保定,鹰潭,0.0
保定,赣州,0.0
保定,济南,4731.0
保定,潍坊,0.0
保定,烟台,0.0
保定,青岛,0.0
保定,济宁,0.0
保定,临沂,0.0
保定,郑州,7541.0
保定,漯河,0.0
保定,信阳,0.0
保定,洛阳,0.0
保定,武汉,0.0
保定,荆州,0.0
保定,襄阳,0.0
保定,长沙,0.0
保定,常德,0.0
保定,衡阳,0.0
保定,广州,0.0
保定,汕头,0.0
保定,深圳,0.0
保定,东莞,0.0
保定,湛江,0.0
保定,中山,741.0
保定,南宁,0.0
保定,柳州,0.0
保定,海口,0.0
保定,重庆,0.0
保定,成都,1572.0
保定,南充,0.0
保定,内江,0.0
保定,贵阳,0.0
保定,昆明,0.0
保定,大理州,0.0
保定,拉萨,0.0
保定,西安,4001.0
保定,宝鸡,0.0
保定,兰州,0.0
保定,西宁,0.0
保定,银川,0.0
保定,乌鲁木齐,0.0
保定,阿克苏,0.0
保定,喀什,0.0
太原,北京,3731.0
太原,天津,2939.0
太原,石家庄,1867.0
太原,唐山,0.0
太原,廊坊,0.0
太原,保定,0.0
太原,太原,0.0
太原,侯马,3631.0
太原,呼和浩特,5607.0
太原,包头,0.0
太原,沈阳,973.0
太原,大连,0.0
太原,锦州,0.0
太原,长春,0.0
太原,哈尔滨,0.0
太原,上海,767.0
太原,南京,1977.0
太原,常州,0.0
太原,无锡,0.0
太原,苏州,0.0
太原,徐州,0.0
太原,连云港,0.0
太原,淮安,0.0
太原,盐城,0.0
太原,扬州,0.0
太原,南通,0.0
太原,杭州,485.0
太原,湖州,0.0
太原,嘉兴,0.0
太原,宁波,0.0
太原,台州,0.0
太原,金华,0.0
太原,义乌,0.0
太原,温州,0.0
太原,合肥,930.0
太原,蚌埠,0.0
太原,芜湖,0.0
太原,安庆,0.0
太原,福州,0.0
太原,厦门,0.0
太原,泉州,0.0
太原,南昌,691.0
太原,鹰潭,0.0
太原,赣州,0.0
太原,济南,2672.0
太原,潍坊,0.0
太原,烟台,0.0
太原,青岛,0.0
太原,济宁,0.0
太原,临沂,0.0
太原,郑州,3140.0
太原,漯河,0.0
太原,信阳,0.0
太原,洛阳,0.0
太原,武汉,1970.0
太原,荆州,0.0
太原,襄阳,0.0
太原,长沙,1357.0
太原,常德,0.0
太原,衡阳,0.0
太原,广州,2473.0
太原,汕头,0.0
太原,深圳,0.0
太原,东莞,0.0
太原,湛江,0.0
太原,中山,0.0
太原,南宁,0.0
太原,柳州,0.0
太原,海口,0.0
太原,重庆,898.0
太原,成都,650.0
太原,南充,0.0
太原,内江,0.0
太原,贵阳,0.0
太原,昆明,0.0
太原,大理州,0.0
太原,拉萨,0.0
太原,西安,2419.0
太原,宝鸡,0.0
太原,兰州,0.0
太原,西宁,0.0
太原,银川,0.0
太原,乌鲁木齐,0.0
太原,阿克苏,0.0
太原,喀什,0.0
侯马,北京,0.0
侯马,天津,0.0
侯马,石家庄,0.0
侯马,唐山,0.0
侯马,廊坊,0.0
侯马,保定,0.0
侯马,太原,2806.0
侯马,侯马,0.0
侯马,呼和浩特,0.0
侯马,包头,0.0
侯马,沈阳,0.0
侯马,大连,0.0
侯马,锦州,0.0
侯马,长春,0.0
