收寄城市,寄达城市,经转次数,路线
石家庄,北京,0,石家庄-北京
石家庄,天津,0,石家庄-天津
石家庄,太原,0,石家庄-太原
石家庄,呼和浩特,0,石家庄-呼和浩特
石家庄,沈阳,0,石家庄-沈阳
石家庄,长春,0,石家庄-长春
石家庄,哈尔滨,0,石家庄-哈尔滨
石家庄,上海,0,石家庄-上海
石家庄,南京,0,石家庄-南京
石家庄,杭州,0,石家庄-杭州
石家庄,合肥,0,石家庄-合肥
石家庄,福州,0,石家庄-福州
石家庄,南昌,0,石家庄-南昌
石家庄,济南,0,石家庄-济南
石家庄,郑州,0,石家庄-郑州
石家庄,武汉,0,石家庄-武汉
石家庄,长沙,0,石家庄-长沙
石家庄,广州,0,石家庄-广州
石家庄,南宁,0,石家庄-南宁
石家庄,海口,1,石家庄-长沙-海口
石家庄,重庆,0,石家庄-重庆
石家庄,成都,0,石家庄-成都
石家庄,贵阳,0,石家庄-贵阳
石家庄,昆明,1,石家庄-西安-昆明
石家庄,拉萨,2,石家庄-兰州-西宁-拉萨
石家庄,西安,0,石家庄-西安
石家庄,兰州,0,石家庄-兰州
石家庄,西宁,1,石家庄-兰州-西宁
石家庄,银川,1,石家庄-呼和浩特-银川
石家庄,乌鲁木齐,1,石家庄-兰州-乌鲁木齐
石家庄,唐山,0,石家庄-唐山
石家庄,廊坊,0,石家庄-廊坊
石家庄,保定,0,石家庄-保定
石家庄,侯马,1,石家庄-太原-侯马
石家庄,包头,1,石家庄-呼和浩特-包头
石家庄,大连,1,石家庄-北京-大连
石家庄,锦州,1,石家庄-北京-锦州
石家庄,常州,1,石家庄-南京-常州
石家庄,无锡,1,石家庄-济南-无锡
石家庄,苏州,1,石家庄-南京-苏州
石家庄,徐州,1,石家庄-济南-徐州
石家庄,连云港,1,石家庄-南京-连云港
石家庄,淮安,1,石家庄-南京-淮安
石家庄,盐城,1,石家庄-南京-盐城
石家庄,扬州,1,石家庄-南京-扬州
石家庄,南通,1,石家庄-南京-南通
石家庄,湖州,1,石家庄-南京-湖州
石家庄,嘉兴,1,石家庄-南京-嘉兴
石家庄,宁波,1,石家庄-南京-宁波
石家庄,台州,1,石家庄-南京-台州
石家庄,金华,1,石家庄-南京-金华
石家庄,义乌,1,石家庄-杭州-义乌
石家庄,温州,1,石家庄-南京-温州
石家庄,蚌埠,0,石家庄-蚌埠
石家庄,芜湖,1,石家庄-南京-芜湖
石家庄,安庆,1,石家庄-合肥-安庆
石家庄,厦门,1,石家庄-南昌-厦门
石家庄,泉州,1,石家庄-福州-泉州
石家庄,鹰潭,1,石家庄-南昌-鹰潭
石家庄,赣州,1,石家庄-南昌-赣州
石家庄,潍坊,1,石家庄-济南-潍坊
石家庄,烟台,1,石家庄-济南-烟台
