收寄城市,寄达城市,经转次数,路线,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
北京,荆州,1,北京-武汉-荆州,1377.0,4,96,100,0.028805030525592443,2.091868592998725e-05
北京,襄阳,1,北京-郑州-襄阳,1097.0,12,264,276,0.063335923763941,5.773557316676481e-05
北京,常德,1,北京-长沙-常德,1674.0,11,262,273,0.09559881307376034,5.7108012588865195e-05
北京,衡阳,1,北京-长沙-衡阳,1690.0,18,354,372,0.13151159470464385,7.781751165955257e-05
北京,汕头,1,北京-福州-汕头,2358.0,12,261,273,0.1346606936845441,5.7108012588865195e-05
北京,深圳,1,北京-武汉-深圳,2210.0,32,740,772,0.35689788438869846,0.00016149225537950157
北京,东莞,1,北京-广州-东莞,2194.0,15,349,364,0.167059972826627,7.614401678515358e-05
北京,湛江,1,北京-广州-湛江,2545.0,7,164,171,0.09103707523300801,3.57709529402782e-05
北京,中山,1,北京-广州-中山,2215.0,20,438,458,0.21221379315394165,9.58075815593416e-05
北京,柳州,1,北京-徐州-柳州,2354.0,16,363,379,0.18662940351413004,7.928181967465168e-05
北京,南充,1,北京-重庆-南充,2018.0,21,414,435,0.18363050069920708,9.099628379544454e-05
北京,内江,1,北京-重庆-内江,2008.0,3,59,62,0.026042927235396928,1.2969585276592094e-05
北京,大理州,2,北京-西安-昆明-大理州,2929.0,9,188,197,0.12070353724519733,8.241962256414977e-05
北京,宝鸡,1,北京-西安-宝鸡,1280.0,5,121,126,0.033737656667883434,2.6357544271783935e-05
北京,阿克苏,1,北京-兰州-阿克苏,4174.0,3,75,78,0.0681053841559781,1.6316575025390054e-05
北京,喀什,2,北京-兰州-阿克苏-喀什,4649.0,1,18,19,0.01847768446881704,7.949100653395156e-06
天津,北京,0,天津-北京,112.0,109,4476,4585,0.10742163598767053,0.0
天津,石家庄,0,天津-石家庄,323.0,58,1710,1768,0.11945908461922239,0.0
天津,太原,0,天津-太原,535.0,44,1596,1640,0.18354055034970812,0.0
天津,呼和浩特,0,天津-呼和浩特,614.0,31,1253,1284,0.1649178993873963,0.0
天津,沈阳,0,天津-沈阳,670.0,81,2928,3009,0.42172698395432195,0.0
天津,长春,0,天津-长春,961.0,44,1552,1596,0.32084160057233524,0.0
天津,哈尔滨,0,天津-哈尔滨,1221.0,67,2224,2291,0.5851607025749856,0.0
天津,上海,0,天津-上海,1108.0,45,1712,1757,0.40723577346318257,0.0
天津,南京,0,天津-南京,937.0,24,808,832,0.16307872852043181,0.0
天津,杭州,0,天津-杭州,1230.0,24,792,816,0.20995666694209603,0.0
天津,合肥,1,天津-济南-合肥,981.0,22,685,707,0.14508510244403466,0.00014789510952500985
